standard_source,standard_target
TLN1,ITGB5
FN1,ITGB5
SPP1,ITGB5
LAMA2,ITGB4
LAMA5,ITGB4
LAMB1,ITGB4
LAMC1,ITGB4
LAMC2,ITGB4
LAMA3,ITGB4
LAMB3,ITGB4
LAMB2,ITGB4
PTK2,ITGB7
CDH1,ITGB7
TLN1,ITGB7
FN1,ITGB7
MADCAM1,ITGB7
SRC,EFNB1
PTPN13,EFNB1
RPL11,MDM2
CDKN2A,MDM2
HNRNPK,MDM2
ERBB4,MDM2
ARRB2,MDM2
S100A4,MDM2
CCL19,CCR7
CCL21,CCR7
FYN,PLD2
EGFR,PLD2
ARF1,PLD2
MMP14,SDC1
THBS1,SDC1
SLIT2,SDC1
SLIT1,SDC1
PRKCZ,ATP1A1
AGT,AGTR1
CCND1,CDK4
CDKN2A,CDK4
COMPLEX:CDC37_HSP90AA1,CDK4
HRAS,SDC2
EPHB2,SDC2
FGF2,SDC2
FN1,SDC2
LNX1,GRIN1
ACTN1,LPP
PRKCZ,NR1H4
TF,TFRC
SRC,PLCG2
FYN,PLCG2
EGFR,PLCG2
LCK,PLCG2
LYN,PLCG2
PIK3R1,PLCG2
ERBB2,PLCG2
BTK,PLCG2
SYK,PLCG2
FGF2,SDC4
THBS1,SDC4
RSPO3,SDC4
FN1,SDC4
TNC,SDC4
ADAM12,SDC4
HCRT,HCRTR1
S100A4,MYH9
LCK,ADAM15
SRC,CD33
LCK,CD33
SRC,F2RL2
F2,F2RL2
SRC,FCGR2C
FYN,FCGR2C
LYN,FCGR2C
SYK,FCGR2C
SRC,FCGR2B
FYN,FCGR2B
LYN,FCGR2B
LYN,MAP4K1
SYK,MAP4K1
CRKL,MAP4K1
DBNL,MAP4K1
SRC,FCGR2A
FYN,FCGR2A
LYN,FCGR2A
SYK,FCGR2A
SMO,GNAT1
PTK2,ATP2B4
ERBB2,CDK1
FYN,LCK
PTPRF,LCK
SYK,LCK
PTPRH,LCK
PTPRC,LCK
CD4,LCK
S1PR1,LCK
NTRK1,MATK
FYN,CD79A
LCK,CD79A
LYN,CD79A
PTPN6,CD79A
SYK,CD79A
LYN,CSF2RB
PTPN6,CSF2RB
PTPN11,CSF2RB
CSF2,CSF2RB
IL3,CSF2RB
IL5,CSF2RB
SRC,MET
TP53,MET
PRKCZ,MET
EGF,MET
PTPRJ,MET
CBL,MET
HGF,MET
MST1R,MET
PTPRB,MET
PTPRG,MET
SEMA5A,MET
SEMA4D,MET
FGFR1,PDK1
PGK1,PDK1
SRC,RET
PTPRF,RET
PTPRJ,RET
CBL,RET
GDNF,RET
NRTN,RET
ARTN,RET
PSPN,RET
PIK3CA,RPS6KB1
SRC,PECAM1
LCK,PECAM1
TNFSF11,TNFRSF11A
JAK2,STAT6
JAK1,STAT6
PRKCZ,STAT6
IL4R,STAT6
IL4,STAT6
PTPN6,STAT6
IL13,STAT6
FGF3,FGFR2
CBL,FGFR2
FGF1,FGFR2
FGF2,FGFR2
FGF4,FGFR2
FGF7,FGFR2
FGF8,FGFR2
FGF10,FGFR2
FGF6,FGFR2
FGF17,FGFR2
FGF18,FGFR2
FGF22,FGFR2
FGF19,FGFR2
FGF5,FGFR2
PF4,FGFR2
FGF16,FGFR2
FGF20,FGFR2
FGF21,FGFR2
FGF23,FGFR2
NR0B2,THRB
INSR,ADRB2
GRK2,ADRB2
GRK5,ADRB2
ARRB2,ADRB2
SRC,PIK3R3
EGFR,PIK3R3
IGF1R,PIK3R3
PTK2,PIK3R3
ERBB2,PIK3R3
PDGFRB,PIK3R3
ERBB3,PIK3R3
CBL,PIK3R3
NR0B2,ESR2
GAS6,AXL
THBS1,CD36
YWHAZ,PRKCZ
GAS6,TYRO3
FYN,NPHS1
GUCA2B,GUCY2C
GUCA2A,GUCY2C
GRK2,PDE6G
PTPN13,FASLG
PIK3R1,FASLG
TP53,FASLG
S100A1,GFAP
IL6,IL6R
TRAF2,RIPK2
ERBIN,RIPK2
TRIP6,RIPK2
SRC,OCLN
TP53,MMP2
MMP14,MMP2
AR,MMP2
GNAI1,MMP2
THBS1,MMP2
A2M,MMP2
MMP25,MMP2
TIMP2,MMP2
TIMP1,MMP2
PZP,MMP2
TIMP3,MMP2
CLDN1,MMP2
MMP16,MMP2
CBL,FGFR3
FGF1,FGFR3
FGF2,FGFR3
FGF9,FGFR3
FGF17,FGFR3
FGF18,FGFR3
FGF19,FGFR3
FGF16,FGFR3
FGF20,FGFR3
FGF21,FGFR3
FGF23,FGFR3
PIK3R1,PIK3CD
HRAS,PIK3CD
ERBB3,PIK3CD
CBL,PIK3CD
ERBB4,PIK3CD
ITGB4,PIK3CD
EFNA1,EPHA4
EFNA2,EPHA4
EFNA5,EPHA4
EFNB3,EPHA4
EFNA3,EPHA4
EFNA4,EPHA4
EFNB2,EPHA4
FGF1,FGFR1
FGF2,FGFR1
FGF17,FGFR1
FGF18,FGFR1
FGF22,FGFR1
FGF19,FGFR1
FGF5,FGFR1
NCAM1,FGFR1
FGF16,FGFR1
FGF20,FGFR1
FGF21,FGFR1
FGF23,FGFR1
KLB,FGFR1
EFNA3,EPHB1
EFNB2,EPHB1
EFNB1,EPHB1
ERBB2,PAK1
EPHA3,PAK1
AR,FGF8
SYK,MAPK11
FGF9,FGF10
LYN,MAPK3
TUB,MAPK3
RET,MAPK3
PRKCZ,MAPK3
TNFSF10,MAPK3
EGF,MAPK3
PTPRJ,MAPK3
MAP3K1,MAPK3
HGF,MAPK3
FGF2,MAPK3
PTPRB,MAPK3
ARF6,MAPK3
F11R,MAPK3
EFNA1,EPHA1
AR,KLK3
A2M,KLK3
SERPINA5,KLK3
PRKCZ,AKT3
HSPB6,AKT3
SPARC,PDGFB
CDH1,CTNNA1
PTPN11,CTNNA1
AFDN,CTNNA1
CBL,FGFR4
FGF1,FGFR4
FGF2,FGFR4
FGF4,FGFR4
FGF6,FGFR4
FGF17,FGFR4
FGF18,FGFR4
FGF19,FGFR4
FGF16,FGFR4
FGF20,FGFR4
FGF21,FGFR4
FGF23,FGFR4
NTN1,UNC5C
FYN,PRKCQ
LCK,PRKCQ
INS,SGK1
PIK3R1,PIK3CB
HRAS,PIK3CB
ERBB3,PIK3CB
CBL,PIK3CB
ERBB4,PIK3CB
ITGB4,PIK3CB
LCK,ITK
PRKCI,PARD6A
TGFBR1,PARD6A
TGFBR2,PARD6A
TUB,MAPK1
RET,MAPK1
PRKCZ,MAPK1
TNFSF10,MAPK1
MTNR1A,MAPK1
PTPRJ,MAPK1
MAP3K1,MAPK1
HGF,MAPK1
FGF2,MAPK1
SNCA,MAPK1
ARF6,MAPK1
F11R,MAPK1
FRS3,MAPK1
FYN,PIK3R2
EGFR,PIK3R2
LCK,PIK3R2
JAK1,PIK3R2
IGF1R,PIK3R2
KIT,PIK3R2
ERBB2,PIK3R2
EGF,PIK3R2
PDGFRB,PIK3R2
CD28,PIK3R2
ERBB3,PIK3R2
CBL,PIK3R2
SYK,PIK3R2
TGFBR1,PIK3R2
TGFBR2,PIK3R2
IL2RG,PIK3R2
ERBB4,PIK3R2
CRKL,PIK3R2
ICOS,PIK3R2
FGFR1,PIK3R2
IRS4,PIK3R2
EPHA2,PIK3R2
CTNNB1,MMP9
AREG,MMP9
THBS1,MMP9
CXCL8,MMP9
TIMP1,MMP9
PZP,MMP9
TIMP3,MMP9
MMP26,MMP9
EGFR,MAP2K1
TRAF2,MAP2K1
YWHAQ,MAP2K1
MAP3K1,MAP2K1
AR,KLK2
RET,GFRA1
GDNF,GFRA1
NRTN,GFRA1
LCK,SH2B3
KIT,SH2B3
LYN,CD19
CR2,CD19
LYN,CD22
ST6GAL1,CD22
FYN,CD247
LCK,CD247
PTPN6,CD247
PTPRC,CD247
LCK,CD28
CD86,CD28
CD80,CD28
LCK,CD3E
FYN,CD5
LCK,CD5
FYN,CD79B
LCK,CD79B
LYN,CD79B
PTPN6,CD79B
SYK,CD79B
LCK,IL2RB
JAK1,IL2RB
PTPN6,IL2RB
IL2RG,IL2RB
IL2,IL2RB
IL15,IL2RB
IL15RA,IL2RB
FYN,SLAMF1
LCK,SLAMF1
LYN,SLAMF1
PTPN11,NTRK2
NGFR,NTRK2
NTF3,NTRK2
BDNF,NTRK2
NTF4,NTRK2
MST1,STK4
FGFR4,STK4
IGF1R,SIRPA
PTPN6,SIRPA
PTPN11,SIRPA
RIGI,TBK1
ADAM17,ERBB4
ERBB2,ERBB4
NRG1,ERBB4
CBL,ERBB4
NRG3,ERBB4
HBEGF,ERBB4
NRG4,ERBB4
LRIG1,ERBB4
NRG2,ERBB4
BTC,ERBB4
EREG,ERBB4
EPGN,ERBB4
FYN,IFITM3
HRAS,BRAF
S1PR1,BLK
NCAM1,ROBO3
FYN,STK11
PRKCZ,STK11
PARD3,F11R
MET,PARP1
JAK2,EZH2
WNK4,OXSR1
WNK4,STK39
WNK4,SLC12A3
EPHA2,CLDN4
STUB1,CFTR
HSPA8,CFTR
FYN,CTLA4
LCK,CTLA4
JAK2,CTLA4
CD86,CTLA4
CD80,CTLA4
JAK1,IL7R
IL7,IL7R
TSLP,IL7R
SYK,TUBA1A
FLT3LG,FLT3
CBL,FLT3
SYK,FLT3
FYN,DLG2
FYN,CD300LF
FYN,SCN9A
FYN,PTGS2
EGFR,PTGS2
LYN,PTGS2
TP53,PTGS2
ERBB2,PTGS2
PLA2G6,PTGS2
FYN,LAT
LCK,LAT
PTPRJ,LAT
SYK,LAT
CD8A,LAT
FCGR2A,LAT
FYN,KIRREL1
RELN,LRP8
APOE,LRP8
FYN,CLIC5
FYN,SCN5A
FGF12,SCN5A
FGF13,SCN5A
FYN,MAG
FYN,PTPRF
ADAM17,PTPRF
LRFN5,PTPRF
LRRC4B,PTPRF
NID1,PTPRF
FYN,PTPRT
PTK2,TRIO
FYN,NOX4
FYN,CD300LB
PLAU,PLAUR
MMP12,PLAUR
LYN,NEDD9
PTPN11,NEDD9
CRKL,NEDD9
ROR2,FLNA
HNRNPK,SPN
SEMA3A,PLXNA2
PVR,CD226
CD59,CD2
CD58,CD2
LYN,CDK2
PCNA,CDK2
PTPRG,CDK2
PCNA,CDK6
CCND1,CDK6
CDKN2A,CDK6
EGFR,ERBB3
ERBB2,ERBB3
AR,ERBB3
NRG1,ERBB3
CBL,ERBB3
PTPN11,ERBB3
LRIG1,ERBB3
NRG2,ERBB3
EREG,ERBB3
ROR1,ERBB3
HRG,ERBB3
GNAI2,HCK
GNAI1,HCK
S1PR1,HCK
LYN,LPXN
MST1,MST1R
PTN,SDC3
COL5A1,SDC3
COL5A3,SDC3
GDNF,NCAM1
PRNP,NCAM1
PTN,PTPRZ1
SYK,TUBA4A
CASP8,CASP3
GZMB,CASP3
COMPLEX:CASP8,CASP3
IL16,CASP3
CNTNAP1,CNTN1
MMP14,CD44
ADAM10,CD44
TGFBR1,CD44
FN1,CD44
COL1A1,CD44
SPP1,CD44
COL1A2,CD44
HAS2,CD44
LCK,SIGLEC10
EPHA2,YES1
S1PR1,YES1
CD300LB,TYROBP
CD48,CD244
L1CAM,PLXNA1
SEMA3A,PLXNA1
NRP1,PLXNA1
SEMA6D,PLXNA1
SMO,ARRB2
TIGIT,ARRB2
ANGPT2,TEK
ANGPT1,TEK
ANGPT4,TEK
PTPRB,TEK
ANGPTL1,TEK
TIE1,TEK
TYK2,EIF2AK2
DNAJC3,EIF2AK2
PRKCZ,MAPK7
ADAM9,ITGA6
THBS1,ITGA6
THBS2,ITGA6
LAMA2,ITGA6
LAMA5,ITGA6
LAMB1,ITGA6
LAMC1,ITGA6
LAMC2,ITGA6
ADAM2,ITGA6
LAMB3,ITGA6
LAMB2,ITGA6
PVR,TIGIT
NECTIN3,TIGIT
AR,F2R
F2,F2R
PRTN3,F2R
CTSG,F2R
ELANE,F2R
PLG,F2R
TGM2,ADGRG1
COL3A1,ADGRG1
THBS1,ITGA4
FN1,ITGA4
SPP1,ITGA4
VCAM1,ITGA4
THBS2,ITGA4
MADCAM1,ITGA4
GRK2,TBXA2R
GNB1,TBXA2R
FN1,ITGA9
SPP1,ITGA9
PLG,ITGA9
ADAM12,ITGA9
ADAM15,ITGA9
TGM2,PLCD1
GNA11,PLCB2
ANGPT1,TIE1
ANGPT4,TIE1
NGF,NGFR
NTF3,NGFR
BDNF,NGFR
NTF4,NGFR
FLNA,SPHK1
CTSB,SPHK1
EGFR,CCND1
CDKN2A,CCND1
CTNNB1,CCND1
ESR1,CCND1
EGFR,PRKDC
LYN,PRKDC
COMPLEX:XRCC5_XRCC6,PRKDC
RET,PRKDC
CASP8,RIPK1
HSP90AA1,RIPK1
FAS,RIPK1
TNFRSF10A,RIPK1
TNFRSF10B,RIPK1
TRAF2,RIPK1
TNFRSF1A,RIPK1
FADD,RIPK1
EGFR,PIK3C2B
ADAM17,HBEGF
MMP1,HBEGF
EGFR,LRIG1
EGFR,EPB41
LRFN5,PTPRS
HSPG2,PTPRS
EGFR,GPRC5A
EGFR,KCNJ4
EGFR,IKBKE
RIGI,IKBKE
EGFR,COMPLEX:PIK3CA_PIK3R1
KIT,COMPLEX:PIK3CA_PIK3R1
TGFBR2,COMPLEX:PIK3CA_PIK3R1
CD19,COMPLEX:PIK3CA_PIK3R1
EGFR,PKM
EGFR,LRRK1
EGFR,HDAC6
EGFR,ATM
EGFR,KCNN1
MMP2,DCN
MMP3,DCN
MMP7,DCN
PTPRJ,FLT1
CBL,FLT1
VEGFA,FLT1
VEGFB,FLT1
PGF,FLT1
IGF1R,IRS4
JAK1,FES
EZR,FES
IFNB1,IFNAR2
IFNA13,IFNAR2
IFNK,IFNAR2
IL36G,IFNAR2
IFNA17,IFNAR2
IFNW1,IFNAR2
IFNA2,IFNAR2
IFNA14,IFNAR2
IFNA10,IFNAR2
IFNA16,IFNAR2
IFNA21,IFNAR2
IFNA4,IFNAR2
IFNA5,IFNAR2
IFNA6,IFNAR2
IFNA7,IFNAR2
IFNA8,IFNAR2
IFNE,IFNAR2
ARF1,PLD1
ARF6,PLD1
ACTB,PLD1
TP53,CASP1
SERPINB9,CASP1
ADAM17,ITGA5
CBL,ITGA5
FN1,ITGA5
COL1A1,ITGA5
VTN,ITGA5
TNC,ITGA5
SPP1,ITGA5
COL18A1,ITGA5
ADAM23,ITGA5
CCN1,ITGA5
ADAM15,ITGA5
TP53,CD82
ITGB2,CD82
CA2,SLC9A1
IL6,IL6ST
LIF,IL6ST
OSMR,IL6ST
IL6R,IL6ST
LIFR,IL6ST
OSM,IL6ST
IL27,IL6ST
CTF1,IL6ST
IL11,IL6ST
CLCF1,IL6ST
EBI3,IL6ST
EGF,MTOR
TGFB1,MTOR
PTPN13,CASP10
TP53,CASP10
CASP8,CASP10
FADD,CASP10
GZMB,CASP10
TRAF2,MAP3K1
TNFRSF1B,MAP3K1
PCNA,EP300
FGFR1,ACAT1
NFKB1,BCL2
TP53,BCL2
HSP90AA1,BCL2
SOD1,BCL2
TP53,MCL1
GZMB,MCL1
HUWE1,MCL1
HLA-G,CD8A
HLA-C,CD8A
HLA-A,CD8A
HLA-B,CD8A
HLA-DQB1,CD4
HLA-DPA1,CD4
IL16,CD4
LCK,NOTCH1
JAG2,NOTCH1
DLL1,NOTCH1
ADAM10,NOTCH1
ADAM17,NOTCH1
WNT1,NOTCH1
JAG1,NOTCH1
CTNNB1,NOTCH1
MFNG,NOTCH1
FURIN,NOTCH1
LFNG,NOTCH1
PSEN1,NOTCH1
CCN3,NOTCH1
CNTN1,NOTCH1
DLL4,NOTCH1
DLL3,NOTCH1
NCSTN,NOTCH1
DAB1,NOTCH1
MFAP5,NOTCH1
MFAP2,NOTCH1
CNTN6,NOTCH1
DLK1,NOTCH1
DLK2,NOTCH1
LYN,SLC4A1
SYK,SLC4A1
PRKCZ,MAPK9
TRAF2,MAPK9
PECAM1,CD38
IFNB1,IFNAR1
TYK2,IFNAR1
PTPN6,IFNAR1
IFNA13,IFNAR1
IFNK,IFNAR1
IL36G,IFNAR1
IFNA17,IFNAR1
IFNW1,IFNAR1
IFNA2,IFNAR1
IFNA14,IFNAR1
IFNA10,IFNAR1
IFNA16,IFNAR1
IFNA21,IFNAR1
IFNA4,IFNAR1
IFNA5,IFNAR1
IFNA6,IFNAR1
IFNA7,IFNAR1
IFNA8,IFNAR1
IFNE,IFNAR1
CSF3,CSF3R
CSF2,CSF3R
CSF1,CSF3R
CCL2,CCR5
CCL3L1,CCR5
CCL5,CCR5
CCL8,CCR5
CCL4,CCR5
GRK2,CCR5
CXCL11,CCR5
CD4,CCR5
CCL26,CCR5
CCL14,CCR5
CCL3,CCR5
CCL7,CCR5
CCL13,CCR5
CCL11,CCR5
CCL16,CCR5
CCL4L1,CCR5
HLA-C,KIR2DL3
HLA-B,KIR2DL3
TP53,VDR
YWHAQ,MAP2K2
MAP3K1,MAP2K2
TOLLIP,IRAK1
IL1R1,IRAK1
IL2RB,IL2RA
IL2,IL2RA
NFKB1,BCL2L1
TP53,BCL2L1
CDKN2A,BCL2L1
IL4R,IL2RG
IL4,IL2RG
IL2RB,IL2RG
IL2,IL2RG
IL2RA,IL2RG
IL9,IL2RG
IL7,IL2RG
IL15,IL2RG
IL21,IL2RG
CD274,PDCD1
PDCD1LG2,PDCD1
LYN,IL5RA
IL5,IL5RA
LYN,NLRP3
CTTN,ACTB
VASP,ACTB
EZR,ACTB
ARPC2,ACTB
LYN,EPOR
JAK2,EPOR
EPO,EPOR
PTPN6,EPOR
SOCS2,EPOR
PTPN6,CD72
LYN,MS4A2
AR,MME
NPPA,MME
CSF3,CSF2RA
CSF2,CSF2RA
CSF1,CSF2RA
S100A10,PLA2G4A
PRKCZ,FADD
FAS,FADD
TNFRSF10A,FADD
TNFRSF10B,FADD
TNFRSF1A,FADD
MAP3K1,FADD
IFNG,COMPLEX:IFNGR1_IFNGR2
IL3,IL3RA
PTPRH,GHR
PTPN11,GHR
GH1,GHR
CISH,GHR
SOCS2,GHR
PTPRB,GHR
GH2,GHR
PRL,PRLR
GH1,PRLR
CISH,PRLR
SOCS2,PRLR
CSH1,PRLR
JAK2,LEPR
CISH,LEPR
LEP,LEPR
SOCS2,LEPR
TNF,TNFRSF1A
LTA,TNFRSF1A
GRN,TNFRSF1A
IL4,IL4R
PTPN6,IL4R
IL13,IL4R
IL7R,CRLF2
TSLP,CRLF2
IL23A,IL23R
IL12B,IL23R
IFNG,IFNGR1
PTPN11,IFNGR1
IFNAR1,IFNGR1
IFNG,IFNGR2
THPO,MPL
IL31,OSMR
OSM,OSMR
JAK2,MAP3K5
JAK1,MAP3K5
FAS,MAP3K5
TRAF2,MAP3K5
YWHAQ,MAP3K5
TXN,MAP3K5
PTPN11,MAP3K5
JAK2,COMPLEX:CSF2RA_CSF2RB
CSF2,COMPLEX:CSF2RA_CSF2RB
JAK2,CCR2
CCL2,CCR2
CCL8,CCR2
CCL26,CCR2
CCL7,CCR2
CCL13,CCR2
CCL11,CCR2
CCL24,CCR2
CCL16,CCR2
HP,APOA1
TTR,APOA1
JAK2,BRD4
H4C4,BRD4
CGA,TSHR
GPHA2,TSHR
TSHB,TSHR
COMPLEX:CGA_TSHB,TSHR
CD74,CXCR4
GRK5,CXCR4
CXCL12,CXCR4
MIF,CXCR4
CXCL14,CXCR4
TFF2,CXCR4
IL4,IL12RB2
IL1B,IL12RB2
IL12A,IL12RB2
IL12B,IL12RB2
TP53,HSPA8
ESR1,HSPA8
STUB1,HSPA8
SERPINB9,GZMB
IL1A,IL1R1
IL1RN,IL1R1
IL1B,IL1R1
IL1RAP,IL1R1
THBS1,ITGA3
FN1,ITGA3
RELN,ITGA3
LAMA5,ITGA3
LAMB1,ITGA3
LAMC2,ITGA3
DUSP18,ITGA3
CASP8,RIPK3
HSP90AA1,RIPK3
TRAF2,MAP4K5
GJB6,GJB2
GJB2,GJB6
ADAM10,DLL1
ADAM17,DLL1
MFNG,DLL1
PSEN1,DLL1
NOTCH1,WNT1
SFRP2,WNT1
SFRP1,WNT1
DKK1,WNT1
FRZB,WNT1
WNT1,JAG1
MFNG,JAG1
NOTCH1,NOTCH4
JAG2,NOTCH4
DLL1,NOTCH4
ADAM10,NOTCH4
ADAM17,NOTCH4
JAG1,NOTCH4
PSEN1,NOTCH4
DLL4,NOTCH4
DLL3,NOTCH4
TP53,TNFRSF10B
TNFSF10,TNFRSF10B
TNFRSF10A,TNFRSF10B
TP53,APC
KRT1,APC
JAG2,NOTCH2
DLL1,NOTCH2
ADAM10,NOTCH2
ADAM17,NOTCH2
JAG1,NOTCH2
MFNG,NOTCH2
LFNG,NOTCH2
PSEN1,NOTCH2
DLL4,NOTCH2
DLL3,NOTCH2
MDK,NOTCH2
JAG2,NOTCH3
DLL1,NOTCH3
ADAM10,NOTCH3
ADAM17,NOTCH3
JAG1,NOTCH3
PSEN1,NOTCH3
DLL4,NOTCH3
DLL3,NOTCH3
TP53,NLRC4
IL9,IL9R
IL21,IL21R
IL22,IL10RA
IL10,IL10RA
JAK1,EIF2AK3
DNAJC3,EIF2AK3
NR0B2,SIRT1
CD80,CD274
CCL2,CCR1
CCL3L1,CCR1
CCL5,CCR1
CCL8,CCR1
CCL4,CCR1
CCL26,CCR1
CCL14,CCR1
CCL15,CCR1
CCL23,CCR1
CCL3,CCR1
CCL7,CCR1
CCL13,CCR1
CCL11,CCR1
CCL1,CCR1
CCL16,CCR1
CCL4L1,CCR1
CCL18,CCR1
TP53,CASP6
CASP8,CASP6
TNF,TNFRSF1B
LTA,TNFRSF1B
OMG,TNFRSF1B
TNF,TNFRSF21
FLNA,TRAF2
TNFRSF1A,TRAF2
LTBR,TRAF2
CD40,TRAF2
TNFRSF1B,TRAF2
TNFRSF14,TRAF2
TNFRSF11A,TRAF2
ICOSLG,ICOS
TNFSF14,LTBR
LTA,LTBR
LTB,LTBR
TP53,NR3C1
AR,NR3C1
HSP90AA1,NR3C1
TXN,NR3C1
TP53,HMGB1
TJP2,WWTR1
AMOT,WWTR1
TNFSF10,TNFRSF11B
TNFSF11,TNFRSF11B
CASP8,MAP3K14
TRAF2,MAP3K14
TNFSF13B,MAP3K14
LTBR,MAP3K14
SELPLG,SELE
TP53,CX3CL1
TP53,ABCB1
CASP8,PSEN1
PRKCZ,PSEN1
CTNND1,PSEN1
NCSTN,PSEN1
TRAF2,MAP3K7
TLR3,MAP3K7
PTPN6,MAP3K7
TGFBR2,MAP3K7
HMGB1,TLR9
PLA2G6,PTGS1
TP53,TAP1
TNFRSF1A,NSMAF
TRAF2,MAP4K2
APOC2,LPL
TRAF2,MAP2K7
TNFRSF1A,MAP2K7
MAP3K1,MAP2K7
F2,F2RL1
PRSS1,F2RL1
PRTN3,F2RL1
CTSG,F2RL1
ELANE,F2RL1
PLG,F2RL1
TPSAB1,F2RL1
F2,PLAU
SERPINB2,PLAU
SERPINE1,PLAU
SERPINA5,PLAU
SERPINE2,PLAU
TRAF2,TNIK
FLNA,MAP2K4
TRAF2,MAP2K4
TNFRSF1A,MAP2K4
MAP3K1,MAP2K4
FLT4,MAP2K4
EPHB1,MAP2K4
TYRO3,MLKL
GAS6,MERTK
NFKB1,MAP3K8
HMGB1,TLR2
RNASE2,TLR2
GAL,GALR1
GALP,GALR1
NFKB1,BIRC3
TP53,BIRC3
TRAF2,BIRC3
TP53,BIRC5
HSP90AA1,BIRC5
TNFRSF14,TRAF5
TRAF2,BIRC2
TNFRSF1B,BIRC2
PGF,VEGFA
TP53,TRAF4
PRKCZ,AKT2
INS,AKT2
TP53,ADGRB1
TP53,DNMT1
PCNA,DNMT1
TP53,COL18A1
TP53,DDR1
COL1A1,DDR1
TP53,CTSD
ESR1,CTSD
TP53,VCAN
ADAMTS1,VCAN
TP53,ODC1
AR,ODC1
TP53,P2RX6
TP53,PRKAB1
TP53,SCN3B
TP53,SLC38A2
TP53,TNFRSF10C
TNFSF10,TNFRSF10C
TP53,TNFRSF10A
TNFSF10,TNFRSF10A
TP53,BCL6
NCOR1,BCL6
TP53,LGALS3
MUC1,LGALS3
TP53,PADI4
TP53,LATS2
TP53,TNFRSF10D
TNFSF10,TNFRSF10D
TP53,RRM2B
TP53,RRM2
HSPBP1,HSPA1B
TP53,HSPA1A
HSPBP1,HSPA1A
PSMC3,CDKN2A
IGF2,IGF2R
GZMB,IGF2R
TNC,COMPLEX:ITGAV_ITGB3
SPP1,COMPLEX:ITGAV_ITGB3
MFGE8,COMPLEX:ITGAV_ITGB3
COMPLEX:LAMA3_LAMB3_LAMC2,COMPLEX:ITGA6_ITGB4
SEMA3F,PLXNA3
WNK3,WNK1
PTHLH,PTH1R
PTH2,PTH1R
PTH,PTH1R
MDK,ALK
PTN,ALK
PTPRZ1,ALK
PTPRB,ALK
CBL,CSF1R
CSF1,CSF1R
IL34,CSF1R
NTF3,NTRK3
CCL2,CCR3
CCL3L1,CCR3
CXCL9,CCR3
CCL5,CCR3
CCL8,CCR3
CCL4,CCR3
CXCL10,CCR3
CXCL11,CCR3
CCL26,CCR3
CCL14,CCR3
CCL15,CCR3
CCL3,CCR3
CCL7,CCR3
CCL13,CCR3
CCL11,CCR3
CCL24,CCR3
CCL4L1,CCR3
CCL28,CCR3
CCL18,CCR3
CCL2,CCR4
CCL5,CCR4
CCL3,CCR4
CCL17,CCR4
CCL22,CCR4
CXCL1,ACKR1
CCL8,ACKR2
CCL19,ACKR2
CCL21,ACKR2
CCL25,ACKR2
CCL13,ACKR2
CCL28,ACKR2
CCL2,CCR10
CCL19,CCR10
CCL25,CCR10
CCL7,CCR10
CCL27,CCR10
CXCL13,CCR10
CCL28,CCR10
CCL8,ACKR4
CCL19,ACKR4
CCL21,ACKR4
CCL25,ACKR4
CCL13,ACKR4
CCL4,CCR8
CCL17,CCR8
CCL1,CCR8
CCL16,CCR8
CCL18,CCR8
CXCL6,CXCR1
CXCL8,CXCR1
CXCL1,CXCR1
CXCL2,CXCR1
CXCL3,CXCR1
CXCL5,CXCR1
PPBP,CXCR1
CXCL9,CXCR3
CCL5,CXCR3
CCL8,CXCR3
CXCL10,CXCR3
CXCL11,CXCR3
CXCL12,CXCR3
CCL19,CXCR3
CCL21,CXCR3
CCL7,CXCR3
CCL13,CXCR3
CCL11,CXCR3
CCL20,CXCR3
CXCL13,CXCR3
PF4V1,CXCR3
PF4,CXCR3
CXCL16,CXCR6
DEFB4A,CCR6
CCL20,CCR6
CCL26,CX3CR1
CX3CL1,CX3CR1
CXCL2,XCR1
XCL1,XCR1
XCL2,XCR1
CCL3,CXCR5
CXCL13,CXCR5
CXCL6,CXCR2
CXCL8,CXCR2
CXCL1,CXCR2
CXCL2,CXCR2
CXCL3,CXCR2
CXCL5,CXCR2
PPBP,CXCR2
MIF,CXCR2
CCL25,CCR9
MMP14,F12
MMP13,F12
MMP12,F12
F2,FGA
F2,FGG
MMP3,ACAN
MMP20,ACAN
MMP8,ACAN
ADAMTS5,ACAN
MMP19,ACAN
ADAMTS4,ACAN
INHBA,COMPLEX:ACVR1B_ACVR2B
NODAL,COMPLEX:ACVR1B_ACVR2B
MSTN,COMPLEX:ACVR1B_ACVR2B
NODAL,COMPLEX:ACVR1C_ACVR2B
INHBA,COMPLEX:ACVR1B_ACVR2A
NODAL,COMPLEX:ACVR1C_ACVR2A
INHBA,ACVR2B
BMP7,ACVR2B
BMP2,ACVR2B
GDF5,ACVR2B
BMP6,ACVR2B
GDF11,ACVR2B
NODAL,ACVR2B
GDF2,ACVR2B
MSTN,ACVR2B
INHBB,ACVR2B
INHA,ACVR2B
INHBE,ACVR2B
INHBC,ACVR2B
LEFTY2,ACVR2B
INHBA,ACVR1B
ACVR2B,ACVR1B
CRIPTO,ACVR1B
ACTR2,ACVR1B
GDF11,ACVR1B
NODAL,ACVR1B
ACVR2A,ACVR1B
INHBB,ACVR1B
INHBC,ACVR1B
INHBA,ACVR2A
BMP7,ACVR2A
